Symbol,Date,High,Low,Open,Close,Volume
UNI,2021-04-06,32.35935508,30.29415925,30.81817264,31.32274785,562448081.72
UNI,2021-04-07,31.41863427,27.87626873,31.29210964,28.59392519,679675887.79
UNI,2021-04-08,30.29578896,28.39754132,28.6136979,30.22243116,421298840.23
UNI,2021-04-09,30.51779572,29.36469767,30.21923517,29.56221964,322122933.32
UNI,2021-04-10,30.81261623,29.21863182,29.55441546,29.79238981,439672477.41
UNI,2021-04-11,30.71073251,29.25380233,29.76993342,29.97910154,447643489.1
UNI,2021-04-12,38.12841345,29.61003659,29.96845024,36.7548148,2185144995.01
UNI,2021-04-13,37.13001266,34.30763795,36.67646513,35.32225973,1201797905.12
UNI,2021-04-14,36.78420416,33.38737979,35.4036298,36.15106629,1060830033.65
UNI,2021-04-15,39.51907279,35.69551216,36.14057726,37.84837046,1267323240.28
UNI,2021-04-16,38.20467451,34.40658211,37.76399365,36.27966064,977289791.58
UNI,2021-04-17,37.56063859,34.93328475,36.2343446,35.09549297,653849648.99
UNI,2021-04-18,35.46338549,27.69431425,35.15216696,31.74631832,1446701094.61
UNI,2021-04-19,32.69434428,29.46617814,31.63400051,31.44609719,847494414.66
UNI,2021-04-20,32.22580185,28.40341206,31.3869687,31.96318937,921466440.08
UNI,2021-04-21,36.43017655,30.55976272,31.98454636,33.60399021,1456435098.19
UNI,2021-04-22,38.39358333,32.78789603,33.42213773,34.13132198,2169942709.94
UNI,2021-04-23,34.77540378,29.85457612,34.00407276,32.88169163,1631826790.46
UNI,2021-04-24,32.93904931,29.97294746,32.93904931,30.11583815,636577406.21
UNI,2021-04-25,34.74232065,30.04205917,30.13408673,33.88875065,1068206314.09
UNI,2021-04-26,38.44620393,34.17159503,34.33791952,37.94541273,1159890689.27
UNI,2021-04-27,40.47471877,37.34711236,38.18788239,39.61473184,1159853792.74
UNI,2021-04-28,42.90787137,37.79453578,39.62831618,42.80321249,1657342891.23
UNI,2021-04-29,43.89278252,39.65757165,42.84917809,41.03312655,1081575232.75
UNI,2021-04-30,41.33313645,39.17109231,41.0403279,40.69766537,1014223949.52
UNI,2021-05-01,41.2510666,39.24566243,40.64195306,40.19977427,747988502.25
UNI,2021-05-02,43.23555653,39.33680562,40.32934534,42.32731437,1047562019.37
UNI,2021-05-03,44.9740635,41.33407292,42.55731119,42.31752885,1178971605.82
UNI,2021-05-04,44.55617783,39.96811681,42.28967516,43.16450615,1714504137.46
UNI,2021-05-05,44.89919774,41.57613283,43.08332438,42.49618733,1469755007.97
UNI,2021-05-06,42.50038819,39.97825926,42.44493848,40.22020652,1165197474.79
UNI,2021-05-07,41.20637306,38.33505185,40.23377843,39.78305305,993781915.39
